Item_set,Sentence,Condition,Correct,Group
6,Der Junge und du machen viel zu viel Lärm.,32_3,gram,E
6,Der Junge und du macht viel zu viel Lärm.,32_2,gram,F
6,Der Junge und du mache viel zu viel Lärm.,32_1,ungram,A
7,Du und der andere Lehrer werden noch einige schwierige Fälle erleben.,23_3,gram,A
7,Du und der andere Lehrer werdet noch einige schwierige Fälle erleben.,23_2,gram,B
7,Du und der andere Lehrer werde noch einige schwierige Fälle erleben.,23_1,ungram,C
7,Der andere Lehrer und du werden noch einige schwierige Fälle erleben.,32_3,gram,D
7,Der andere Lehrer und du werdet noch einige schwierige Fälle erleben.,32_2,gram,E
7,Der andere Lehrer und du werde noch einige schwierige Fälle erleben.,32_1,ungram,F
8,Du und dein Mann kennen das sicherlich schon alles.,23_3,gram,F
8,Du und dein Mann kennt das sicherlich schon alles.,23_2,gram,A
8,Du und dein Mann kenne das sicherlich schon alles.,23_1,ungram,B
8,Dein Mann und du kennen das sicherlich schon alles.,32_3,gram,C
8,Dein Mann und du kennt das sicherlich schon alles.,32_2,gram,D
8,Dein Mann und du kenne das sicherlich schon alles.,32_1,ungram,E
9,Du und der Nachbar haben die Hecke nicht ordentlich geschnitten.,23_3,gram,E
9,Du und der Nachbar habt die Hecke nicht ordentlich geschnitten.,23_2,gram,F
9,Du und der Nachbar habe die Hecke nicht ordentlich geschnitten.,23_1,ungram,A
9,Der Nachbar und du haben die Hecke nicht ordentlich geschnitten.,32_3,gram,B
9,Der Nachbar und du habt die Hecke nicht ordentlich geschnitten.,32_2,gram,C
9,Der Nachbar und du habe die Hecke nicht ordentlich geschnitten.,32_1,ungram,D
10,Du und meine Kollegin haben genau die gleichen Probleme.,23_3,gram,D
10,Du und meine Kollegin habt genau die gleichen Probleme.,23_2,gram,E
10,Du und meine Kollegin habe genau die gleichen Probleme.,23_1,ungram,F
10,Meine Kollegin und du haben genau die gleichen Probleme.,32_3,gram,A
10,Meine Kollegin und du habt genau die gleichen Probleme.,32_2,gram,B
10,Meine Kollegin und du habe genau die gleichen Probleme.,32_1,ungram,C
11,Du und das Team haben gute Chancen auf den Pokal.,23_3,gram,C
11,Du und das Team habt gute Chancen auf den Pokal.,23_2,gram,D
11,Du und das Team habe gute Chancen auf den Pokal.,23_1,ungram,E
11,Das Team und du haben gute Chancen auf den Pokal.,32_3,gram,F
11,Das Team und du habt gute Chancen auf den Pokal.,32_2,gram,A
11,Das Team und du habe gute Chancen auf den Pokal.,32_1,ungram,B
12,Du und Maryam werden damit keine Schwierigkeiten haben.,23_3,gram,B
12,Du und Maryam werdet damit keine Schwierigkeiten haben.,23_2,gram,C
12,Du und Maryam werde damit keine Schwierigkeiten haben.,23_1,ungram,D
12,Maryam und du werden damit keine Schwierigkeiten haben.,32_3,gram,E
12,Maryam und du werdet damit keine Schwierigkeiten haben.,32_2,gram,F
12,Maryam und du werde damit keine Schwierigkeiten haben.,32_1,ungram,A
13,Du und deine Schwester haben immer gerne im Garten gespielt.,23_3,gram,A
13,Du und deine Schwester habt immer gerne im Garten gespielt.,23_2,gram,B
13,Du und deine Schwester habe immer gerne im Garten gespielt.,23_1,ungram,C
13,Deine Schwester und du haben immer gerne im Garten gespielt.,32_3,gram,D
13,Deine Schwester und du habt immer gerne im Garten gespielt.,32_2,gram,E
13,Deine Schwester und du habe immer gerne im Garten gespielt.,32_1,ungram,F
14,Du und die Polizistin haben die Angelegenheit gut geregelt.,23_3,gram,F
14,Du und die Polizistin habt die Angelegenheit gut geregelt.,23_2,gram,A
14,Du und die Polizistin habe die Angelegenheit gut geregelt.,23_1,ungram,B
14,Die Polizistin und du haben die Angelegenheit gut geregelt.,32_3,gram,C
14,Die Polizistin und du habt die Angelegenheit gut geregelt.,32_2,gram,D
14,Die Polizistin und du habe die Angelegenheit gut geregelt.,32_1,ungram,E
15,Du und Anna sind doch verrückt.,23_3,gram,E
15,Du und Anna seid doch verrückt.,23_2,gram,F
15,Du und Anna bin doch verrückt.,23_1,ungram,A
15,Anna und du sind doch verrückt.,32_3,gram,B
15,Anna und du seid doch verrückt.,32_2,gram,C
15,Anna und du bin doch verrückt.,32_1,ungram,D
16,Du und deine Vorgesetzte kommen wohl nicht so gut miteinander aus. ,23_3,gram,D
16,Du und deine Vorgesetzte kommt wohl nicht so gut miteinander aus. ,23_2,gram,E
16,Du und deine Vorgesetzte komme wohl nicht so gut miteinander aus. ,23_1,ungram,F
16,Deine Vorgesetzte und du kommen wohl nicht so gut miteinander aus. ,32_3,gram,A
16,Deine Vorgesetzte und du kommt wohl nicht so gut miteinander aus. ,32_2,gram,B
16,Deine Vorgesetzte und du komme wohl nicht so gut miteinander aus. ,32_1,ungram,C
17,Du und Mama verstehen das doch bestimmt.,23_3,gram,C
17,Du und Mama versteht das doch bestimmt.,23_2,gram,D
17,Du und Mama verstehe das doch bestimmt.,23_1,ungram,E
17,Mama und du verstehen das doch bestimmt.,32_3,gram,F
17,Mama und du versteht das doch bestimmt.,32_2,gram,A
17,Mama und du verstehe das doch bestimmt.,32_1,ungram,B
18,Du und Opa haben Berlin noch nie gemocht.,23_3,gram,B
18,Du und Opa habt Berlin noch nie gemocht.,23_2,gram,C
18,Du und Opa habe Berlin noch nie gemocht.,23_1,ungram,D
18,Opa und du haben Berlin noch nie gemocht.,32_3,gram,E
18,Opa und du habt Berlin noch nie gemocht.,32_2,gram,F
18,Opa und du habe Berlin noch nie gemocht.,32_1,ungram,A
19,Du und deine Frau haben die neue Veranda bestimmt schon einmal gesehen.,23_3,gram,A
19,Du und deine Frau habt die neue Veranda bestimmt schon einmal gesehen.,23_2,gram,B
19,Du und deine Frau habe die neue Veranda bestimmt schon einmal gesehen.,23_1,ungram,C
19,Deine Frau und du haben die neue Veranda bestimmt schon einmal gesehen.,32_3,gram,D
19,Deine Frau und du habt die neue Veranda bestimmt schon einmal gesehen.,32_2,gram,E
19,Deine Frau und du habe die neue Veranda bestimmt schon einmal gesehen.,32_1,ungram,F
20,Du und dein Anwalt haben den Prozess nur wegen Verfahrensfehler gewonnen. ,23_3,gram,F
20,Du und dein Anwalt habt den Prozess nur wegen Verfahrensfehler gewonnen. ,23_2,gram,A
20,Du und dein Anwalt habe den Prozess nur wegen Verfahrensfehler gewonnen. ,23_1,ungram,B
20,Dein Anwalt und du haben den Prozess nur wegen Verfahrensfehler gewonnen. ,32_3,gram,C
20,Dein Anwalt und du habt den Prozess nur wegen Verfahrensfehler gewonnen. ,32_2,gram,D
20,Dein Anwalt und du habe den Prozess nur wegen Verfahrensfehler gewonnen. ,32_1,ungram,E
21,Du und Tom werden damit definitiv in Schwierigkeiten geraten.,23_3,gram,E
21,Du und Tom werdet damit definitiv in Schwierigkeiten geraten.,23_2,gram,F
21,Du und Tom werde damit definitiv in Schwierigkeiten geraten.,23_1,ungram,A
21,Tom und du werden damit definitiv in Schwierigkeiten geraten.,32_3,gram,B
21,Tom und du werdet damit definitiv in Schwierigkeiten geraten.,32_2,gram,C
21,Tom und du werde damit definitiv in Schwierigkeiten geraten.,32_1,ungram,D
22,Du und der Anstreicher haben wirklich gute Arbeit geleistet.,23_3,gram,D
22,Du und der Anstreicher habt wirklich gute Arbeit geleistet.,23_2,gram,E
22,Du und der Anstreicher habe wirklich gute Arbeit geleistet.,23_1,ungram,F
22,Der Anstreicher und du haben wirklich gute Arbeit geleistet.,32_3,gram,A
22,Der Anstreicher und du habt wirklich gute Arbeit geleistet.,32_2,gram,B
22,Der Anstreicher und du habe wirklich gute Arbeit geleistet.,32_1,ungram,C
23,Du und Robin haben ungefähr die gleiche Größe.,23_3,gram,C
23,Du und Robin habt ungefähr die gleiche Größe.,23_2,gram,D
23,Du und Robin habe ungefähr die gleiche Größe.,23_1,ungram,E
23,Robin und du haben ungefähr die gleiche Größe.,32_3,gram,F
23,Robin und du habt ungefähr die gleiche Größe.,32_2,gram,A
23,Robin und du habe ungefähr die gleiche Größe.,32_1,ungram,B
24,Du und dein Verlobter werden hoffentlich eine schöne Hochzeit haben.,23_3,gram,B
24,Du und dein Verlobter werdet hoffentlich eine schöne Hochzeit haben.,23_2,gram,C
24,Du und dein Verlobter werde hoffentlich eine schöne Hochzeit haben.,23_1,ungram,D
24,Dein Verlobter und du werden hoffentlich eine schöne Hochzeit haben.,32_3,gram,E
24,Dein Verlobter und du werdet hoffentlich eine schöne Hochzeit haben.,32_2,gram,F
24,Dein Verlobter und du werde hoffentlich eine schöne Hochzeit haben.,32_1,ungram,A
25,Du und unser Mieter werden schon einen Kompromiss finden.,23_3,gram,A
25,Du und unser Mieter werdet schon einen Kompromiss finden.,23_2,gram,B
25,Du und unser Mieter werde schon einen Kompromiss finden.,23_1,ungram,C
25,Unser Mieter und du werden schon einen Kompromiss finden.,32_3,gram,D
25,Unser Mieter und du werdet schon einen Kompromiss finden.,32_2,gram,E
25,Unser Mieter und du werde schon einen Kompromiss finden.,32_1,ungram,F
26,Du und deine Therapeutin haben anscheinend die gleiche Meinung dazu.,23_3,gram,F
26,Du und deine Therapeutin habt anscheinend die gleiche Meinung dazu.,23_2,gram,A
26,Du und deine Therapeutin habe anscheinend die gleiche Meinung dazu.,23_1,ungram,B
26,Deine Therapeutin und du haben anscheinend die gleiche Meinung dazu.,32_3,gram,C
26,Deine Therapeutin und du habt anscheinend die gleiche Meinung dazu.,32_2,gram,D
26,Deine Therapeutin und du habe anscheinend die gleiche Meinung dazu.,32_1,ungram,E
27,Du und der Arzt haben mit der Diagnose recht gehabt.,23_3,gram,E
27,Du und der Arzt habt mit der Diagnose recht gehabt.,23_2,gram,F
27,Du und der Arzt habe mit der Diagnose recht gehabt.,23_1,ungram,A
27,Der Arzt und du haben mit der Diagnose recht gehabt.,32_3,gram,B
27,Der Arzt und du habt mit der Diagnose recht gehabt.,32_2,gram,C
27,Der Arzt und du habe mit der Diagnose recht gehabt.,32_1,ungram,D
28,Du und Kofi haben eine wirklich tolle Leistung gezeigt.,23_3,gram,D
28,Du und Kofi habt eine wirklich tolle Leistung gezeigt.,23_2,gram,E
28,Du und Kofi habe eine wirklich tolle Leistung gezeigt.,23_1,ungram,F
28,Kofi und du haben eine wirklich tolle Leistung gezeigt.,32_3,gram,A
28,Kofi und du habt eine wirklich tolle Leistung gezeigt.,32_2,gram,B
28,Kofi und du habe eine wirklich tolle Leistung gezeigt.,32_1,ungram,C
29,Du und Maria haben den Garten ja völlig verkommen lassen.,23_3,gram,C
29,Du und Maria habt den Garten ja völlig verkommen lassen.,23_2,gram,D
29,Du und Maria habe den Garten ja völlig verkommen lassen.,23_1,ungram,E
29,Maria und du haben den Garten ja völlig verkommen lassen.,32_3,gram,F
29,Maria und du habt den Garten ja völlig verkommen lassen.,32_2,gram,A
29,Maria und du habe den Garten ja völlig verkommen lassen.,32_1,ungram,B
30,Du und die andere Bewerberin werden bald von uns hören.,23_3,gram,B
30,Du und die andere Bewerberin werdet bald von uns hören.,23_2,gram,C
30,Du und die andere Bewerberin werde bald von uns hören.,23_1,ungram,D
30,Die andere Bewerberin und du werden bald von uns hören.,32_3,gram,E
30,Die andere Bewerberin und du werdet bald von uns hören.,32_2,gram,F
30,Die andere Bewerberin und du werde bald von uns hören.,32_1,ungram,A
31,Du und die Kollegin sollten häufiger zusammenarbeiten.,23_3,gram,A
31,Du und die Kollegin solltet häufiger zusammenarbeiten.,23_2,gram,B
31,Du und die Kollegin sollte häufiger zusammenarbeiten.,23_1,ungram,C
31,Die Kollegin und du sollten häufiger zusammenarbeiten.,32_3,gram,D
31,Die Kollegin und du solltet häufiger zusammenarbeiten.,32_2,gram,E
31,Die Kollegin und du sollte häufiger zusammenarbeiten.,32_1,ungram,F
32,Du und Luna haben so eine Unordnung hier drinnen veranstaltet.,23_3,gram,F
32,Du und Luna habt so eine Unordnung hier drinnen veranstaltet.,23_2,gram,A
32,Du und Luna habe so eine Unordnung hier drinnen veranstaltet.,23_1,ungram,B
32,Luna und du haben so eine Unordnung hier drinnen veranstaltet.,32_3,gram,C
32,Luna und du habt so eine Unordnung hier drinnen veranstaltet.,32_2,gram,D
32,Luna und du habe so eine Unordnung hier drinnen veranstaltet.,32_1,ungram,E
33,Du und Ömer können drüben bei den anderen Kindern sitzen.,23_3,gram,E
33,Du und Ömer könnt drüben bei den anderen Kindern sitzen.,23_2,gram,F
33,Du und Ömer kann drüben bei den anderen Kindern sitzen.,23_1,ungram,A
33,Ömer und du können drüben bei den anderen Kindern sitzen.,32_3,gram,B
33,Ömer und du könnt drüben bei den anderen Kindern sitzen.,32_2,gram,C
33,Ömer und du kann drüben bei den anderen Kindern sitzen.,32_1,ungram,D
34,Du und Tabea sind wie immer für den Nachtisch zuständig.,23_3,gram,D
34,Du und Tabea seid wie immer für den Nachtisch zuständig.,23_2,gram,E
34,Du und Tabea bin wie immer für den Nachtisch zuständig.,23_1,ungram,F
34,Tabea und du sind wie immer für den Nachtisch zuständig.,32_3,gram,A
34,Tabea und du seid wie immer für den Nachtisch zuständig.,32_2,gram,B
34,Tabea und du bin wie immer für den Nachtisch zuständig.,32_1,ungram,C
35,Du und Papa führen doch irgendetwas im Schilde. ,23_3,gram,C
35,Du und Papa führt doch irgendetwas im Schilde. ,23_2,gram,D
35,Du und Papa führe doch irgendetwas im Schilde. ,23_1,ungram,E
35,Papa und du führen doch irgendetwas im Schilde. ,32_3,gram,F
35,Papa und du führt doch irgendetwas im Schilde. ,32_2,gram,A
35,Papa und du führe doch irgendetwas im Schilde. ,32_1,ungram,B
36,Du und die Verkäuferin sind ja im Grunde genommen einer Meinung.,23_3,gram,B
36,Du und die Verkäuferin seid ja im Grunde genommen einer Meinung.,23_2,gram,C
36,Du und die Verkäuferin bin ja im Grunde genommen einer Meinung.,23_1,ungram,D
36,Die Verkäuferin und du sind ja im Grunde genommen einer Meinung.,32_3,gram,E
36,Die Verkäuferin und du seid ja im Grunde genommen einer Meinung.,32_2,gram,F
36,Die Verkäuferin und du bin ja im Grunde genommen einer Meinung.,32_1,ungram,A
37,Du und mein Ex sind in der Hinsicht so verschieden.,23_3,gram,A
37,Du und mein Ex seid in der Hinsicht so verschieden.,23_2,gram,B
37,Du und mein Ex bin in der Hinsicht so verschieden.,23_1,ungram,C
37,Mein Ex und du sind in der Hinsicht so verschieden.,32_3,gram,D
37,Mein Ex und du seid in der Hinsicht so verschieden.,32_2,gram,E
37,Mein Ex und du bin in der Hinsicht so verschieden.,32_1,ungram,F
38,Du und Tina sind aber auch unzertrennlich.,23_3,gram,F
38,Du und Tina seid aber auch unzertrennlich.,23_2,gram,A
38,Du und Tina bin aber auch unzertrennlich.,23_1,ungram,B
38,Tina und du sind aber auch unzertrennlich.,32_3,gram,C
38,Tina und du seid aber auch unzertrennlich.,32_2,gram,D
38,Tina und du bin aber auch unzertrennlich.,32_1,ungram,E
39,Du und Wieland haben am selben Tag Geburtstag.,23_3,gram,E
39,Du und Wieland habt am selben Tag Geburtstag.,23_2,gram,F
39,Du und Wieland habe am selben Tag Geburtstag.,23_1,ungram,A
39,Wieland und du haben am selben Tag Geburtstag.,32_3,gram,B
39,Wieland und du habt am selben Tag Geburtstag.,32_2,gram,C
39,Wieland und du habe am selben Tag Geburtstag.,32_1,ungram,D
40,Du und Frau Berger kennen ihn eben auch nicht so gut wie ich.,23_3,gram,D
40,Du und Frau Berger kennt ihn eben auch nicht so gut wie ich.,23_2,gram,E
40,Du und Frau Berger kenne ihn eben auch nicht so gut wie ich.,23_1,ungram,F
40,Frau Berger und du kennen ihn eben auch nicht so gut wie ich.,32_3,gram,A
40,Frau Berger und du kennt ihn eben auch nicht so gut wie ich.,32_2,gram,B
40,Frau Berger und du kenne ihn eben auch nicht so gut wie ich.,32_1,ungram,C
41,Du und sein Lehrer werden schon irgendwie eine Lösung finden.,23_3,gram,C
41,Du und sein Lehrer werdet schon irgendwie eine Lösung finden.,23_2,gram,D
41,Du und sein Lehrer werde schon irgendwie eine Lösung finden.,23_1,ungram,E
41,Sein Lehrer und du werden schon irgendwie eine Lösung finden.,32_3,gram,F
41,Sein Lehrer und du werdet schon irgendwie eine Lösung finden.,32_2,gram,A
41,Sein Lehrer und du werde schon irgendwie eine Lösung finden.,32_1,ungram,B
42,Du und Anastasia waren aber auch das letzte Mal vor zehn Jahren in Polen.,23_3,gram,B
42,Du und Anastasia wart aber auch das letzte Mal vor zehn Jahren in Polen.,23_2,gram,C
42,Du und Anastasia war aber auch das letzte Mal vor zehn Jahren in Polen.,23_1,ungram,D
42,Anastasia und du waren aber auch das letzte Mal vor zehn Jahren in Polen.,32_3,gram,E
42,Anastasia und du wart aber auch das letzte Mal vor zehn Jahren in Polen.,32_2,gram,F
42,Anastasia und du war aber auch das letzte Mal vor zehn Jahren in Polen.,32_1,ungram,A
43,Du und Jan sind doch schon seit Ewigkeiten zusammen.,23_3,gram,A
43,Du und Jan seid doch schon seit Ewigkeiten zusammen.,23_2,gram,B
43,Du und Jan bin doch schon seit Ewigkeiten zusammen.,23_1,ungram,C
43,Jan und du sind doch schon seit Ewigkeiten zusammen.,32_3,gram,D
43,Jan und du seid doch schon seit Ewigkeiten zusammen.,32_2,gram,E
43,Jan und du bin doch schon seit Ewigkeiten zusammen.,32_1,ungram,F
44,Du und eine gewisse Dame sollen gestern Abend zusammen im Restaurant gewesen sein.,23_3,gram,F
44,Du und eine gewisse Dame sollt gestern Abend zusammen im Restaurant gewesen sein.,23_2,gram,A
44,Du und eine gewisse Dame soll gestern Abend zusammen im Restaurant gewesen sein.,23_1,ungram,B
44,Eine gewisse Dame und du sollen gestern Abend zusammen im Restaurant gewesen sein.,32_3,gram,C
44,Eine gewisse Dame und du sollt gestern Abend zusammen im Restaurant gewesen sein.,32_2,gram,D
44,Eine gewisse Dame und du soll gestern Abend zusammen im Restaurant gewesen sein.,32_1,ungram,E
45,Du und Max sollten das so schnell wie möglich klären.,23_3,gram,E
45,Du und Max solltet das so schnell wie möglich klären.,23_2,gram,F
45,Du und Max sollte das so schnell wie möglich klären.,23_1,ungram,A
45,Max und du sollten das so schnell wie möglich klären.,32_3,gram,B
45,Max und du solltet das so schnell wie möglich klären.,32_2,gram,C
45,Max und du sollte das so schnell wie möglich klären.,32_1,ungram,D
46,Du und ein anderer Junge sollen auf dem Spielplatz ein kleines Mädchen geärgert haben.,23_3,gram,D
46,Du und ein anderer Junge sollt auf dem Spielplatz ein kleines Mädchen geärgert haben.,23_2,gram,E
46,Du und ein anderer Junge soll auf dem Spielplatz ein kleines Mädchen geärgert haben.,23_1,ungram,F
46,Ein anderer Junge und du sollen auf dem Spielplatz ein kleines Mädchen geärgert haben.,32_3,gram,A
46,Ein anderer Junge und du sollt auf dem Spielplatz ein kleines Mädchen geärgert haben.,32_2,gram,B
46,Ein anderer Junge und du soll auf dem Spielplatz ein kleines Mädchen geärgert haben.,32_1,ungram,C
47,Du und Yasmin werden wohl nicht gerade beste Freundinnen werden.,23_3,gram,C
47,Du und Yasmin werdet wohl nicht gerade beste Freundinnen werden.,23_2,gram,D
47,Du und Yasmin werde wohl nicht gerade beste Freundinnen werden.,23_1,ungram,E
47,Yasmin und du werden wohl nicht gerade beste Freundinnen werden.,32_3,gram,F
47,Yasmin und du werdet wohl nicht gerade beste Freundinnen werden.,32_2,gram,A
47,Yasmin und du werde wohl nicht gerade beste Freundinnen werden.,32_1,ungram,B
48,Du und der Mann dort drüben können auch mit anpacken.,23_3,gram,B
48,Du und der Mann dort drüben könnt auch mit anpacken.,23_2,gram,C
48,Du und der Mann dort drüben kann auch mit anpacken.,23_1,ungram,D
48,Der Mann dort drüben und du können auch mit anpacken.,32_3,gram,E
48,Der Mann dort drüben und du könnt auch mit anpacken.,32_2,gram,F
48,Der Mann dort drüben und du kann auch mit anpacken.,32_1,ungram,A
49,Du und deine beste Freundin haben ein gemeinsames Wellness-Wochenende gewonnen.,23_3,gram,A
49,Du und deine beste Freundin habt ein gemeinsames Wellness-Wochenende gewonnen.,23_2,gram,B
49,Du und deine beste Freundin habe ein gemeinsames Wellness-Wochenende gewonnen.,23_1,ungram,C
49,Deine beste Freundin und du haben ein gemeinsames Wellness-Wochenende gewonnen.,32_3,gram,D
49,Deine beste Freundin und du habt ein gemeinsames Wellness-Wochenende gewonnen.,32_2,gram,E
49,Deine beste Freundin und du habe ein gemeinsames Wellness-Wochenende gewonnen.,32_1,ungram,F
50,Du und Gisela sollten mit dem Geld etwas besser haushalten.,23_3,gram,F
50,Du und Gisela solltet mit dem Geld etwas besser haushalten.,23_2,gram,A
50,Du und Gisela sollte mit dem Geld etwas besser haushalten.,23_1,ungram,B
50,Gisela und du sollten mit dem Geld etwas besser haushalten.,32_3,gram,C
50,Gisela und du solltet mit dem Geld etwas besser haushalten.,32_2,gram,D
50,Gisela und du sollte mit dem Geld etwas besser haushalten.,32_1,ungram,E
51,Du und Professor Frings könnten darüber ein ganzes Buch schreiben.,23_3,gram,E
51,Du und Professor Frings könntet darüber ein ganzes Buch schreiben.,23_2,gram,F
51,Du und Professor Frings könnte darüber ein ganzes Buch schreiben.,23_1,ungram,A
51,Professor Frings und du könnten darüber ein ganzes Buch schreiben.,32_3,gram,B
51,Professor Frings und du könntet darüber ein ganzes Buch schreiben.,32_2,gram,C
51,Professor Frings und du könnte darüber ein ganzes Buch schreiben.,32_1,ungram,D
52,Du und Leon erhalten auch nicht genug Unterstützung in der Schule.,23_3,gram,D
52,Du und Leon erhaltet auch nicht genug Unterstützung in der Schule.,23_2,gram,E
52,Du und Leon erhalte auch nicht genug Unterstützung in der Schule.,23_1,ungram,F
52,Leon und du erhalten auch nicht genug Unterstützung in der Schule.,32_3,gram,A
52,Leon und du erhaltet auch nicht genug Unterstützung in der Schule.,32_2,gram,B
52,Leon und du erhalte auch nicht genug Unterstützung in der Schule.,32_1,ungram,C
53,Du und Doktor Breuer werden die Ergebnisse rechtzeitig erhalten.,23_3,gram,C
53,Du und Doktor Breuer werdet die Ergebnisse rechtzeitig erhalten.,23_2,gram,D
53,Du und Doktor Breuer werde die Ergebnisse rechtzeitig erhalten.,23_1,ungram,E
53,Doktor Breuer und du werden die Ergebnisse rechtzeitig erhalten.,32_3,gram,F
53,Doktor Breuer und du werdet die Ergebnisse rechtzeitig erhalten.,32_2,gram,A
53,Doktor Breuer und du werde die Ergebnisse rechtzeitig erhalten.,32_1,ungram,B
54,Du und Miriam werden eine tolle Ergänzung zum Team sein.,23_3,gram,B
54,Du und Miriam werdet eine tolle Ergänzung zum Team sein.,23_2,gram,C
54,Du und Miriam werde eine tolle Ergänzung zum Team sein.,23_1,ungram,D
54,Miriam und du werden eine tolle Ergänzung zum Team sein.,32_3,gram,E
54,Miriam und du werdet eine tolle Ergänzung zum Team sein.,32_2,gram,F
54,Miriam und du werde eine tolle Ergänzung zum Team sein.,32_1,ungram,A
55,Du und meine Tochter passen nun mal leider nicht zusammen.,23_3,gram,A
55,Du und meine Tochter passt nun mal leider nicht zusammen.,23_2,gram,B
55,Du und meine Tochter passe nun mal leider nicht zusammen.,23_1,ungram,C
55,Meine Tochter und du passen nun mal leider nicht zusammen.,32_3,gram,D
55,Meine Tochter und du passt nun mal leider nicht zusammen.,32_2,gram,E
55,Meine Tochter und du passe nun mal leider nicht zusammen.,32_1,ungram,F
56,Du und deine Frau haben die Geschichte bestimmt gehört.,23_3,gram,F
56,Du und deine Frau habt die Geschichte bestimmt gehört.,23_2,gram,A
56,Du und deine Frau habe die Geschichte bestimmt gehört.,23_1,ungram,B
56,Deine Frau und du haben die Geschichte bestimmt gehört.,32_3,gram,C
56,Deine Frau und du habt die Geschichte bestimmt gehört.,32_2,gram,D
56,Deine Frau und du habe die Geschichte bestimmt gehört.,32_1,ungram,E
57,Du und der Neue werden bestimmt Freunde.,23_3,gram,E
57,Du und der Neue werdet bestimmt Freunde.,23_2,gram,F
57,Du und der Neue werde bestimmt Freunde.,23_1,ungram,A
57,Der Neue und du werden bestimmt Freunde.,32_3,gram,B
57,Der Neue und du werdet bestimmt Freunde.,32_2,gram,C
57,Der Neue und du werde bestimmt Freunde.,32_1,ungram,D
58,Du und Hertha vergessen meinen Geburtstag jedes Jahr.,23_3,gram,D
58,Du und Hertha vergesst meinen Geburtstag jedes Jahr.,23_2,gram,E
58,Du und Hertha vergesse meinen Geburtstag jedes Jahr.,23_1,ungram,F
58,Hertha und du vergessen meinen Geburtstag jedes Jahr.,32_3,gram,A
58,Hertha und du vergesst meinen Geburtstag jedes Jahr.,32_2,gram,B
58,Hertha und du vergesse meinen Geburtstag jedes Jahr.,32_1,ungram,C
59,Du und Frau Doktor Herrman haben einen Termin um halb drei.,23_3,gram,C
59,Du und Frau Doktor Herrman habt einen Termin um halb drei.,23_2,gram,D
59,Du und Frau Doktor Herrman habe einen Termin um halb drei.,23_1,ungram,E
59,Frau Doktor Herrman und du haben einen Termin um halb drei.,32_3,gram,F
59,Frau Doktor Herrman und du habt einen Termin um halb drei.,32_2,gram,A
59,Frau Doktor Herrman und du habe einen Termin um halb drei.,32_1,ungram,B
60,Du und Jule sind gemeinsam dafür verantwortlich.,23_3,gram,B
60,Du und Jule seid gemeinsam dafür verantwortlich.,23_2,gram,C
60,Du und Jule bin gemeinsam dafür verantwortlich.,23_1,ungram,D
60,Jule und du sind gemeinsam dafür verantwortlich.,32_3,gram,E
60,Jule und du seid gemeinsam dafür verantwortlich.,32_2,gram,F
60,Jule und du bin gemeinsam dafür verantwortlich.,32_1,ungram,A
101,Ich werde auf jeden Fall zur Party kommen.,filler,gram,A
